"author_channel_ID","author_number"
"UC0Cjj8SHzkWbAs0zsM_1suw","0014171"
"UC0CmClk-5Ga_d_8tNMlW24w","0020034"
"UC0Cp6WywGQdtQVy5dLlgt6Q","0017600"
"UC0CumsaQUaGpGKpWMWqiq8g","0020827"
"UC0Cwp1GTRDAliz3NFLOkX_w","0016991"
"UC0D3H5Bs01jv7Fo6SElqQ8g","0012724"
"UC0E-bNeF7C7qbMlkaHm0uBw","0017122"
"UC0ED94jBpl7cxDE8TExmmAA","0004894"
"UC0EXOhnWzIKjOF4i-NEYzGA","0003126"
"UC0Ek7K5SPOm42zKn8PsKd2A","0007326"
"UC0EptWhfUPNwZP6YDQBKx5w","0017043"
"UC0F6CtTT9aFfOc848lkG-kg","0005243"
"UC0FIkaKHCGcMdBUW5TtzYMQ","0004570"
"UC0FPg73O1-73jRZ0vgegRxg","0006267"
"UC0FoMrQoevWGpkT9KyCelGg","0022065"
"UC0FwYPlt6hRJPAXx4yjIGVg","0020785"
"UC0G45Ahqo7aj508Phh9hyyw","0004201"
"UC0G87_gYonFC0Dp-L-Cw28A","0008738"
"UC0GjSb3EJ-G2R5FQ_a1H_Pw","0005141"
"UC0H0vBuFC_BY37VVbA5fYtQ","0008593"
"UC0H9qN9E9ltMWCIXkkSvOkA","0001210"
"UC0HBK2-t_LDIBp609Y9DJ5Q","0011592"
"UC0HrJB-2kwcLIaMHR-5DYgQ","0004841"
"UC0HtoDJ6xH9PugDGYzdFuYw","0010554"
"UC0HyPe0nt3ZLP9FA0juDNAg","0009095"
"UC0IFBvQN4Y-DnTU23vodPdA","0011895"
"UC0IWANfvWcxiOD8ejUvAIZg","0005853"
"UC0JIW8ieD-6E8mSuUwMl89Q","0010886"
"UC0JbYM7QR0E486HXorZV7Nw","0003795"
"UC0JpgwKQtsDvL9OiLSRW3kg","0022034"
"UC0JqiqbHsBel4zWNRSLSs6Q","0005779"
"UC0K0-0GUs8eOlM1GWawrO0A","0011646"
"UC0KQmNV-C45akW5F8j92LFQ","0016167"
