"comment_ID","comment_number"
"UggbonIdF1CIVngCoAEC.8Oig3IIYD2K8PsHtfEDrMk","0006456"
"UggbqgRjxCrlN3gCoAEC","0000598"
"Uggc2cT2p_5f3ngCoAEC","0022119"
"Uggc2cT2p_5f3ngCoAEC.8Gh02HgaBfk8Q9bVoN5bOS","0022120"
"Uggc7WAn7siRKHgCoAEC","0017079"
"Uggc7WAn7siRKHgCoAEC.8T1m5HBAUcv8U4PccxaQmq","0017080"
"UggcTduThzhBJ3gCoAEC","0002513"
"UggcavyjfA9y4HgCoAEC","0005709"
"UggcavyjfA9y4HgCoAEC.80Z__IFHkoP8GLzGTkPVbk","0005710"
"UggdAHLBm-qy73gCoAEC","0006591"
"UggdGNwEII1qLHgCoAEC","0030224"
"UggdYTrshEJJfHgCoAEC","0034865"
"UggdbYAGHo0B6ngCoAEC","0000564"
"UggeCX0J7yFIVXgCoAEC","0005687"
"Uggefv1mh57a6ngCoAEC","0032134"
"Uggefv1mh57a6ngCoAEC.8MwMKEX80fg8NiqEB6576x","0032135"
"UggfOKPePjHDFngCoAEC","0005689"
"UggfTwLOR2wSkHgCoAEC","0024440"
"UggfTwLOR2wSkHgCoAEC.8C-DrFXwkdU8Cbmjce3ldJ","0024442"
"UggfTwLOR2wSkHgCoAEC.8C-DrFXwkdU8JJbuHwaHCN","0024441"
"UggffPosLHk2iXgCoAEC","0029322"
"UggffPosLHk2iXgCoAEC.8GD4UKlaxVo8GMXAnUki00","0029327"
"UggffPosLHk2iXgCoAEC.8GD4UKlaxVo8GNze_Zz1a3","0029326"
"UggffPosLHk2iXgCoAEC.8GD4UKlaxVo8GOEKvudQMD","0029325"
"UggffPosLHk2iXgCoAEC.8GD4UKlaxVo8GOG9hzNBbE","0029324"
"UggffPosLHk2iXgCoAEC.8GD4UKlaxVo8QJHaue0Ak3","0029323"
"UggflpFTrfdcTHgCoAEC","0017333"
"Uggg8PbRH5XZx3gCoAEC","0032137"
"UgggIShEqIjNpXgCoAEC","0005765"
"UgggIShEqIjNpXgCoAEC.7-H0Z7-F-dh7-JdwMx7lMu","0005770"
"UgggIShEqIjNpXgCoAEC.7-H0Z7-F-dh7-LUtAmE8_y","0005769"
"UgggIShEqIjNpXgCoAEC.7-H0Z7-F-dh7-RJMfR8ogf","0005768"
"UgggIShEqIjNpXgCoAEC.7-H0Z7-F-dh7-iOpYEhEPE","0005767"
"UgggIShEqIjNpXgCoAEC.7-H0Z7-F-dh7-khFxkevcL","0005766"
"UgggK70s007QEXgCoAEC","0032125"
"UgggK70s007QEXgCoAEC.8PfdDJ6NZ-k8aJP_ZKBH22","0032126"
"UgggVGxOVNLKqXgCoAEC","0029250"
"Uggg_ziW-PqO9HgCoAEC","0029315"
"Uggh_EUYtdDZ_HgCoAEC","0012603"
"Uggh_EUYtdDZ_HgCoAEC.7-H0Z7-9dMi7-H2u065RJ7","0012606"
"Uggh_EUYtdDZ_HgCoAEC.7-H0Z7-9dMi7-H31lG8nzv","0012605"
"Uggh_EUYtdDZ_HgCoAEC.7-H0Z7-9dMi8aSDseBs7_f","0012604"
"UgghmEcwVo1e33gCoAEC","0016740"
"UgghnLVKQpbtVngCoAEC","0002335"
"UgghnLVKQpbtVngCoAEC.8RNgW1YgoLN9E4hcFFK6YS","0002339"
"UgghnLVKQpbtVngCoAEC.8RNgW1YgoLN9I_iBBCMB19","0002338"
"UgghnLVKQpbtVngCoAEC.8RNgW1YgoLN9Oz3m5KtiNe","0002337"
"UgghnLVKQpbtVngCoAEC.8RNgW1YgoLN9Oz42oDukJH","0002336"
"UggiYvGQJj0-YXgCoAEC","0030235"
"UggiigYVorJw0HgCoAEC","0012594"
"UggiimiTqfKqbngCoAEC","0020062"
"UggiimiTqfKqbngCoAEC.8RSqCxWD8j08Rq8Lzhw7-y","0020067"
"UggiimiTqfKqbngCoAEC.8RSqCxWD8j08nwshJGfohh","0020066"
"UggiimiTqfKqbngCoAEC.8RSqCxWD8j08zq3QQ9n4-V","0020065"
"UggiimiTqfKqbngCoAEC.8RSqCxWD8j090R5K1MyJuZ","0020064"
"UggiimiTqfKqbngCoAEC.8RSqCxWD8j099k5BtQ2Uwd","0020063"
"Uggilw0wIOd0CXgCoAEC","0022139"
"Uggilw0wIOd0CXgCoAEC.7-H0Z7-3tY98jTrPsiL75y","0022144"
"Uggilw0wIOd0CXgCoAEC.7-H0Z7-3tY98jTrSD_q2_U","0022143"
"Uggilw0wIOd0CXgCoAEC.7-H0Z7-3tY98mU3HoyT0zj","0022142"
"Uggilw0wIOd0CXgCoAEC.7-H0Z7-3tY98vIk2wvwX2b","0022141"
"Uggilw0wIOd0CXgCoAEC.7-H0Z7-3tY99HOTq6NMjPW","0022140"
"Uggimp_jL13w8ngCoAEC","0006595"
"Uggj5XS8k0q0gngCoAEC","0021027"
"UggjPex99-1sQngCoAEC","0000675"
"Uggjd3VAjCF4AHgCoAEC","0029314"
"UggjgSf8u7SvtHgCoAEC","0005595"
"UggjgSf8u7SvtHgCoAEC.8EPPGGAbxYN8EQd0qxNhNt","0005600"
"UggjgSf8u7SvtHgCoAEC.8EPPGGAbxYN8Ih-i6Ae6qN","0005599"
"UggjgSf8u7SvtHgCoAEC.8EPPGGAbxYN8Ih-ok5Rl8F","0005598"
"UggjgSf8u7SvtHgCoAEC.8EPPGGAbxYN8aJEU1OiMjc","0005597"
"UggjgSf8u7SvtHgCoAEC.8EPPGGAbxYN8ldCYk_l-xX","0005596"
"UggjvMCMMwv21XgCoAEC","0010914"
"UggjvMCMMwv21XgCoAEC.8V61bP7pSbV8byQY6Fid3L","0010919"
"UggjvMCMMwv21XgCoAEC.8V61bP7pSbV8h_UxW95K1a","0010918"
"UggjvMCMMwv21XgCoAEC.8V61bP7pSbV8jTgZ_eBcn5","0010917"
"UggjvMCMMwv21XgCoAEC.8V61bP7pSbV8kWQFSNTIas","0010916"
"UggjvMCMMwv21XgCoAEC.8V61bP7pSbV8lu5E6KhArg","0010915"
"UggkjgTf3LCSKXgCoAEC","0030302"
"UggkjgTf3LCSKXgCoAEC.86tyQI0XT7l871HXx37k1T","0030304"
"UggkjgTf3LCSKXgCoAEC.86tyQI0XT7l88yhZWDCqpO","0030303"
"Uggl6DjAGzKitngCoAEC","0017077"
"UgglTMhD2_-CungCoAEC","0006535"
"UgglYr1isyTC-ngCoAEC","0002530"
